gene1	gene2	rearrangement_type	locus	disease	context	oncotree_term	oncotree_code	therapy_name	therapy_strategy	therapy_type	therapy_sensitivity	therapy_resistance	favorable_prognosis	predictive_implication	description	preferred_assertion	source_type	citation	url	doi	pmid	nct	last_updated
BCR	ABL1	Fusion		Chronic Myelogenous Leukemia	"Chronic, accelerated, or blast phase"	Chronic Myelogenous Leukemia	CML	Bosutinib	targets BCR-ABL	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted approval for bosutinib for adult patients with chronic, accelerated, or blast phase Philidelphia chromosome-positive (Ph+) CML with resistance or intolernace to prior therapy."		FDA	"Pfizer Inc. Bosulif (bosutinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/203441s018lbl.pdf. Revised June 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/203441s018lbl.pdf				11/12/20
BCR	ABL1	Fusion		Chronic Myelogenous Leukemia	Chronic phase	Chronic Myelogenous Leukemia	CML	Dasatinib	targets BCR-ABL	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted approval for dasatinib for newly diagnosed patients with Philidelphia chromosome-positive (Ph+) CML in chronic phase. It is also approved for adults with chronic, accelerated, myeloid, or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy, including imatinib. "		FDA	"Bristol-Myers Squibb Company. Sprycel (dasatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf. Revised December 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf				11/12/20
BCR	ABL1	Fusion		Acute Lymphoblastic Leukemia		Acute Lymphoid Leukemia	ALL	Dasatinib	targets BCR-ABL	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for dasatinib for adults with Philidelphia chromosome-positive acute lymphphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy.		FDA	"Bristol-Myers Squibb Company. Sprycel (dasatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf. Revised December 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021986s021lbl.pdf				11/12/20
BCR	ABL1	Fusion		Chronic Myelogenous Leukemia	Chronic phase	Chronic Myelogenous Leukemia	CML	Imatinib	BCR-ABL inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for newly diagnosed adult and pediatric patients with Philidelphia chromosome-positive (Ph+) CML in chronic phase. 		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
BCR	ABL1	Fusion		Acute Lymphoblastic Leukemia	Relapsed or refactory	Acute Lymphoid Leukemia	ALL	Imatinib	BCR-ABL inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for imatinib for adult patients with relapsed or refactory Philidelphia chromosome-positive acute lymphphoblastic leukemia (Ph+ ALL). 		FDA	"Novartis Pharmaceuticals Corporation. Gleevec (imatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf. Revised August 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021588s056s057lbl.pdf				11/12/20
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Chronic Phase CML	Chronic Myelogenous Leukemia	CML	Dasatinib	targets BCR-ABL	Targeted therapy	1			Guideline	"SPRYCEL (dasatinib) is indicated for the treatment of adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib; Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy. SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with Ph+ CML in chronic phase, newly diagnosed Ph+ ALL in combination with chemotherapy. Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Nilotinib or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				1/30/19
BCR	ABL1	Fusion		Acute Lymphoblastic Leukemia	Resistance or intolerance to prior therapy	Chronic Myelogenous Leukemia	CML	Dasatinib	targets BCR-ABL	Targeted therapy	1			Guideline	"SPRYCEL (dasatinib) is indicated for the treatment of adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib; Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy. SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with Ph+ CML in chronic phase, newly diagnosed Ph+ ALL in combination with chemotherapy. Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Nilotinib or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				1/30/19
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Chronic Phase CML	Chronic Myelogenous Leukemia	CML	Imatinib	BCR-ABL inhibition	Targeted therapy	1			Guideline	"Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Dasatinib, Nilotinib, or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				11/3/17
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Chronic Phase CML	Chronic Myelogenous Leukemia	CML	Nilotinib	BCR-ABL inhibition	Targeted therapy	1			Guideline	"Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib. Secondary mutations can cause resistance to these agents. Dasatinib or Bosutinib are second-line and subsequent therapies for cytogenetic or hematologic resistance to TKIs."		Guideline	"National Comprehensive Cancer Network. Chronic Myelogenous Leukemia (Version 1.2016). https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/cml.pdf				11/3/17
BCR	ABL1	Fusion		Chronic Myeloid Leukemia	Newly diagnosed chronic phase CML	Chronic Myelogenous Leukemia	CML	Nilotinib	BCR-ABL inhibition	Targeted therapy	1			Clinical trial	Nilotinib was superior to imatinib in patients (n=846) with newly diagnosed chronic-phase Ph+ CML.		Journal	"Saglio G, Kim D, Issaragrisil S, et al. Nilotinib versus Imatinib for Newly Diagnosed Chronic Myeloid Leukemia N Engl J Med. 2010; 362(24):2251-2259."	https://doi.org/10.1056/NEJMoa0912614	10.1056/NEJMoa0912614	20525993	NCT00471497	8/14/19
ALK		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Alectinib	ALK inhibition	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administration (FDA) granted regular approval to alectinib for treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC), as detected by an FDA-approved test."		FDA	"Genentech, Inc. Alecensa (alectinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208434s004lbl.pdf. Revised June 2018. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208434s004lbl.pdf			NCT02075840	11/12/20
ALK		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Crizotinib	MET inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for crizotinib for patients with ALK positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.		FDA	"Pfizer, Inc. Xalkori (crizotinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202570s028lbl.pdf. Revised June 2016. Accessed November 12, 2020. "	https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202570s028lbl.pdf				11/12/20
ALK		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Lorlatinib	ALK inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted approval for lorbrena for patients with ALK positive metastatic non-small cell lung cancer (NSCLC) for second- or third-line treatment. Continued approval for this indication may be contingent upon veritifcation and description of clinical benefit in a confirmatory trial.		FDA	"Pfizer, Inc. Lorbrena (lorlatinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210868s001lbl.pdf. Revised May 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/210868s001lbl.pdf				11/12/20
ALK				Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Ceritinib	ALK inhibition	Targeted therapy	1			FDA-Approved	The U.S. Food and Drug Administration (FDA) granted regular approval for ceritinib for patients with for patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.		FDA	"Novartis Pharmaceuticals Corporation. Zykadia (ceritinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211225s000lbl.pdf. Revised March 2019. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211225s000lbl.pdf				11/12/20
ALK		Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Alectinib	ALK inhibition	Targeted therapy	1			Guideline	ALK rearrangement may suggest sensitivity to Alectinib as a first or subsequent line of therapy. See NCCN guidelines (NSCL-21) for more details.		Guideline	"National Comprehensive Cancer Network. Non-Small Cell Lung Cancer NCCN Evidence Blocks (Version 3.2019). Accessed March 7th, 2019."	https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf				3/7/19
ALK				Non-Small Cell Lung Cancer	Advanced	Non-Small Cell Lung Cancer	NSCLC	Ceritinib	ALK inhibition	Targeted therapy	1			Clinical trial	"Ceritinib was highly active in patients with advanced, ALK-rearranged NSCLC, including those who had had disease progression during crizotinib treatment, regardless of the presence of resistance mutations in ALK. "		Journal	"Shaw AT, Kim DW, Mehra R, et al. Ceritinib in ALK-rearranged non-small-cell lung cancer. N Engl J Med. 2014;370(13):1189-97."	https://doi.org/10.1056/NEJMoa1311107	10.1056/NEJMoa1311107	24670165	NCT01283516	8/10/19
ALK		Translocation		Inflammatory Myofibroblastic Tumor (IMT)		Inflammatory Myofibroblastic Tumor	IMT	Crizotinib	MET inhibition	Targeted therapy	1			Guideline	Crizotinib has shown efficacy in inflammatory myofibroblastic tumors (IMT) with ALK translocations.		Guideline	"National Comprehensive Cancer Network. Soft Tissue Sarcoma NCCN Evidence Blocks (Version 2.2019). Accessed August 10th, 2019."	https://www.nccn.org/professionals/physician_gls/pdf/sarcoma_blocks.pdf				8/10/19
ALK		Translocation		Inflammatory Myofibroblastic Tumor (IMT)		Inflammatory Myofibroblastic Tumor	IMT	Ceritinib	ALK inhibition	Targeted therapy	1			Guideline	Crizotinib has shown efficacy in inflammatory myofibroblastic tumors (IMT) with ALK translocations.		Guideline	"National Comprehensive Cancer Network. Soft Tissue Sarcoma NCCN Evidence Blocks (Version 2.2019). Accessed August 10th, 2019."	https://www.nccn.org/professionals/physician_gls/pdf/sarcoma_blocks.pdf				8/10/19
ALK		Translocation		Inflammatory Myofibroblastic Tumor (IMT)		Inflammatory Myofibroblastic Tumor	IMT	Crizotinib	MET inhibition	Targeted therapy	1			Clinical trial	"A sustained partial response is observed ot the ALK inhibitor crizotinib in a patient with ALK-translocated IMT, as compared with no observed activity in another patient without the ALK translocation."		Journal	"Butrynski JE, D'adamo DR, Hornick JL, et al. Crizotinib in ALK-rearranged inflammatory myofibroblastic tumor. N Engl J Med. 2010;363(18):1727-33."	https://doi.org/10.1056/NEJMoa1007056	10.1056/NEJMoa1007056	20979472	NCT00585195 	8/10/19
BRD4		Translocation	t(15;19)	Squamous Cell Carcinoma		"Squamous Cell Carcinoma, NOS"	SCCNOS	JQ1	BET inhibition	Targeted therapy	1			Preclinical	BET inhibition was found to have an antitumor effect in a murine model of squamous cell carcinoma.		Journal	"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73."	https://doi.org/10.1038/nature09504	10.1038/nature09504	20871596		9/14/18
CCND1		Translocation	t(11;14)	Multiple Myeloma		Multiple Myeloma	MM	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Inferential	Palbociclib is predicted to have antitumor effects in multiple myeloma patients with t(11;14) resulting in CCND1 overexpression.		Journal	"Manier S, Salem KZ, Park J, Landau DA, Getz G, Ghobrial IM. Genomic complexity of multiple myeloma and its clinical implications. Nat Rev Clin Oncol. 2017;14(2):100-113."	https://doi.org/10.1038/nrclinonc.2016.122	10.1038/nrclinonc.2016.122	27531699		11/3/17
CCND1		Translocation	t(11;14)	Multiple Myeloma		Multiple Myeloma	MM						0	Clinical evidence	"In a meta-analysis of 1,661 patients, the t(11;14) translocation accompanied by CCND1 mutation was found to be associated with poor prognosis."		Journal	"Weinhold N, Johnson DC, Chubb D, et al. The CCND1 c.870G>A polymorphism is a risk factor for t(11;14)(q13;q32) multiple myeloma. Nat Genet. 2013;45(5):522-5."	https://doi.org/10.1038/ng.2583	10.1038/ng.2583	23502783		11/3/17
CCND3		Translocation	t(6;14)	Multiple Myeloma		Multiple Myeloma	MM	Palbociclib	CDK4/6 inhibition	Targeted therapy	1			Inferential	Palbociclib is predicted to have antitumor effects in multiple myeloma patients with t(6;14) resulting in CCND3 overexpression.		Journal	"Manier S, Salem KZ, Park J, Landau DA, Getz G, Ghobrial IM. Genomic complexity of multiple myeloma and its clinical implications. Nat Rev Clin Oncol. 2017;14(2):100-113."	https://doi.org/10.1038/nrclinonc.2016.122	10.1038/nrclinonc.2016.122	27531699		11/3/17
COL1A1	PDGFB	Fusion		Dermatofibrosarcoma		Dermatofibrosarcoma Protuberans	DFSP	Imatinib	PDGF-R inhibition	Targeted therapy	1			Guideline	Imatinib has shown clinical activity against localized and metastatic DFSP tumors containing t(17;22)(q22;q13).		Guideline	"National Comprehensive Cancer Network. Dermatofibrosarcoma NCCN Evidence Blocks (Version 1.2017). https://www.nccn.org/professionals/physician_gls/pdf/dfsp_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/dfsp_blocks.pdf				11/3/17
EML4	ALK	Fusion		Non-Small Cell Lung Cancer	Intracranial metastases	Non-Small Cell Lung Cancer	NSCLC	Gamma knife	Radiation	Radiation therapy	1			Clinical evidence	"In a retrospective study of patients with NSCLC, tumors with EGFR mutations or EML4-ALK locations had improved in-field local control of brain metastases treated with gamma knife."		Journal	"Johung, Kimberly L. A Clinical Model for Identifying Radiosensitive Tumor Genotypes in Non-small cell lung cancer. Clin Cancer Res. 2013 Oct 1;19(19):5523-32."	https://clincancerres.aacrjournals.org/content/19/19/5523.long	10.1158/1078-0432.CCR-13-0836	23897899		8/9/19
EML4	ALK	Fusion		Non-Small Cell Lung Cancer	Metastatic	Non-Small Cell Lung Cancer	NSCLC	Crizotinib	MET inhibition	Targeted therapy	1			Guideline	"ALK rearrangement, notably with EML4, may suggest sensitivity to Crizotinib as a first or subsequent line of therapy. See NCCN guidelines for more details in the case of resistance to Crizotinib in the presence of ALK rearrangement."		Guideline	"National Comprehensive Cancer Network. Non-Small Cell Lung Cancer NCCN Evidence Blocks (Version 1.2017). https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf. Accessed November 5, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/nscl_blocks.pdf				11/3/17
ESRP1	RAF1	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	Sorafenib	RAF inhibition	Targeted therapy	1			Preclinical	Rearrangements in BRAF are rare but may result in dependencies that can be targeted with RAF and MAP2K1 inhibitors.		Journal	"Palanisamy N, Ateeq B, Kalyana-sundaram S, et al. Rearrangements of the RAF kinase pathway in prostate cancer, gastric cancer and melanoma. Nat Med. 2010;16(7):793-8."	https://doi.org/10.1038/nm.2166	10.1038/nm.2166	20526349		3/7/19
ESRP1	RAF1	Fusion		Prostate Cancer		Prostate Adenocarcinoma	PRAD	U0126	MEK inhibition	Targeted therapy	1			Preclinical	Rearrangements in BRAF are rare but may result in dependencies that can be targeted with RAF and MAP2K1 inhibitors.		Journal	"Palanisamy N, Ateeq B, Kalyana-sundaram S, et al. Rearrangements of the RAF kinase pathway in prostate cancer, gastric cancer and melanoma. Nat Med. 2010;16(7):793-8."	https://doi.org/10.1038/nm.2166	10.1038/nm.2166	20526349		3/7/19
EWSR1	FLI1	Fusion		Ewing's Sarcoma		Ewing Sarcoma	ES						1	Guideline	"EWS-FLI1 translocations may be associated with improved prognosis in Ewing's Sarcoma; however, current treatments result in patient outcomes indistinguishable by EWS-FLI1 status."		Guideline	"National Comprehensive Cancer Network. Bone Cancer (Version 1.2017). https://www.nccn.org/professionals/physician_gls/pdf/bone.pdf. Accessed November 6, 2016."	https://www.nccn.org/professionals/physician_gls/pdf/bone.pdf				11/3/17
FGFR2	TACC3	Fusion		Cholangiocarcinoma		Cholangiocarcinoma	CHOL	Ponatinib	BCR-ABL inhibition	Targeted therapy	1			Clinical evidence	"After progressing on previous treatments, a patient with a FGFR2-TACC3 fusion obtained stable disease after being treated with ponatinib."		Journal	"Borad MJ, Champion MD, Egan JB, et al. Integrated genomic characterization reveals novel, therapeutically relevant drug targets in FGFR and EGFR pathways in sporadic intrahepatic cholangiocarcinoma. PLoS Genet. 2014;10(2):e1004135."	https://doi.org/10.1371/journal.pgen.1004135	10.1371/journal.pgen.1004135	24550739		11/3/17
FGFR2		Fusion		Urothelial carcinoma	"Locally advanced or metastatic, progressed during or following at least one line of prior platinum containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum containing chemotherapy."	Bladder Urothelial Carcinoma	BLCA	Erdafitinib	FGFR inhibition	Targeted therapy	1			FDA-Approved	"Erdafitinib is indictated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma that has susceptible FGFR3 or FGFR2 genetic alterations, and has progressed during or following at least one line of prior platinum-containing chemotherapy including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy."		FDA	"Janssen Products, LP. Balversa (erdafitinib) [package insert]. U.S. Food and Drug Administration website. https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125427s108lbl.pdf. Revised April 2020. Accessed November 12, 2020."	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125427s108lbl.pdf				11/12/20
FGFR2		Fusion		Cholangiocarcinoma		Cholangiocarcinoma	CHOL	Pemigatinib	FGFR inhibition	Targeted therapy	1			FDA-Approved	"The U.S. Food and Drug Administraton (FDA) granted accelerated approval to Pemazyre (pemigatinib). Pemigatinib is a kinase inhibitor indicated for the treatment of adults with previously treated, unresctable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor 2 (FGFR2) fusion or rearrangement as detected by an FDA-approved test."		FDA	"Incyte Corporation. Pemazyre (pemigatinib) [package insert]. U.S. Food and Drug Administration website. www.accessdata.fda.gov/drugsatfda_docs/label/2020/213736s000lbl.pdf. Revised April 2020. Accessed October 15, 2020. "	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213736s000lbl.pdf				10/15/20
